sample,mode,modalht,control,mancontrol,iithreshold,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,ctrlmode,ctrlmedian,skewmode,skewctrlmode,skewmedian,skewctrlmedian,sampleA,sampleB,propmode,ctrlA,ctrlB,propctrlmode,ii,iictrl
B02_2022-12-16_JO_Exp15A-C_FA4_B02_2022-12-16_1.fsa,161.4174503,238,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4842,154.2002605,10.92212366,156.6607837,155.1128969,10.086622,121.0007837,171.9074503,50.90666667,-0.74524172,-0.156798372,0.156962062,157.5974503,155.6607837,-0.660786317,-0.311037484,-0.675836479,-0.401164621,3479,1601,0.31515748,2602,2240,0.462618753,-6.733356367,-2.913356367
B02_2022-12-16_JO_Exp15A-C_FA3_B02_2022-12-16_1.fsa,161.424117,431,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,10520,148.9363673,15.91239178,154.684117,150.423408,14.188482,110.204117,173.7074503,63.50333333,-0.717637246,-0.565036036,0.15514136,157.5974503,155.6607837,-0.784781437,-0.544298,-1.083636532,-1.267769756,8136,2815,0.25705415,6493,4395,0.4036554,-6.723374749,-2.896708082
B02_2022-12-16_JO_Exp15A-C_FA1_B02_2022-12-16_1.fsa,173.874117,299,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4203,152.751871,14.54966913,156.644117,154.2048584,11.29247,110.844117,173.874117,63.03,-0.924983698,0.361936023,0.224426131,157.5974503,155.6607837,-1.45173377,-0.333037082,-0.802543201,-0.59978945,4203,299,0.066414927,2175,2028,0.482512491,-14.72257656,1.554090108
B03_2022-12-16_JO_Exp15A-C_FA3_B03_2022-12-16_1.fsa,160.544117,185,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3798,153.9242618,10.68539225,156.7107837,154.7052924,10.061912,124.0307837,171.0074503,46.97666667,-0.631194605,-0.475564702,0.173385585,157.5974503,155.6607837,-0.619523835,-0.343757948,-0.782335862,-0.487540882,2646,1337,0.335676626,1955,1843,0.485255398,-5.893226902,-2.946560235
B03_2022-12-16_JO_Exp15A-C_FA4_B03_2022-12-16_1.fsa,160.5474503,201,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3604,154.3476964,10.70975303,157.7007837,155.2401884,9.85929,121.9774503,170.8507837,48.87333333,-0.726932237,-0.347926976,0.178396802,157.5974503,155.6607837,-0.578888604,-0.303438741,-0.939261802,-0.367820053,2446,1359,0.357161629,1759,1845,0.511931188,-5.308040061,-2.358040061
B03_2022-12-16_JO_Exp15A-C_FA2_B03_2022-12-16_1.fsa,160.534117,97,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1523,157.3863976,6.478493364,158.5507837,157.9467831,5.73272,139.344117,168.0307837,28.68666667,-0.719503825,0.191689227,0.166006108,157.5974503,155.6607837,-0.485872137,-0.032577443,-0.539192995,0.799081124,1037,583,0.359876543,752,866,0.535228677,-3.147719413,-0.211052747
B03_2022-12-16_JO_Exp15A-C_FA1_B03_2022-12-16_1.fsa,159.6974503,84,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1273,153.3054996,15.51044073,157.7474503,155.7184709,7.072002,116.5774503,173.964117,57.38666667,-1.475884746,1.052434352,0.434720316,157.5974503,155.6607837,-0.412106328,-0.276713657,-0.859153685,-0.45555458,800,557,0.410464259,564,709,0.556952082,-6.391950772,-4.291950772
B04_2022-12-16_JO_Exp15A-C_FA4_B04_2022-12-16_1.fsa,161.4707837,239,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4808,154.1927491,11.26021678,157.594117,155.2121255,9.80987,123.0707837,172.894117,49.82333333,-0.778170165,-0.179835828,0.162391959,157.5974503,155.6607837,-0.646349415,-0.30236551,-0.906208449,-0.391120674,3486,1561,0.309292649,2565,2243,0.466514143,-6.143556309,-2.270222976
B04_2022-12-16_JO_Exp15A-C_FA2_B04_2022-12-16_1.fsa,161.3607837,30,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,30,161.3607837,0,161.3607837,161.3607837,0,161.3607837,161.3607837,0,NA,NA,0,157.5974503,155.6607837,NA,Inf,NA,Inf,30,30,0.5,0,30,1,0,3.763333333
B04_2022-12-16_JO_Exp15A-C_FA3_B04_2022-12-16_1.fsa,160.5474503,140,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,2898,152.6333061,11.39173006,155.7307837,153.391867,11.44073,127.5774503,170.2007837,42.62333333,-0.505896589,-0.87978946,0.211612099,157.5974503,155.6607837,-0.694727157,-0.435767369,-0.815717425,-0.797282999,2047,991,0.326201448,1591,1307,0.45100069,-7.914144237,-4.964144237
B05_2022-12-16_JO_Exp15A-C_FA3_B05_2022-12-16_1.fsa,159.6674503,59,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,597,158.8623638,3.390428903,159.6674503,158.992085,4.121628,151.994117,164.1974503,12.20333333,-0.276178119,-0.861325992,0.138761018,157.5974503,155.6607837,-0.237458613,0.373083611,-0.712375838,2.832898328,356,300,0.457317073,195,402,0.673366834,-0.805086544,1.264913456
B05_2022-12-16_JO_Exp15A-C_FA4_B05_2022-12-16_1.fsa,160.5907837,123,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,2519,154.9717351,9.623423447,156.7507837,155.4805242,10.012492,134.6707837,170.914117,36.24333333,-0.438845324,-0.874993176,0.191741231,157.5974503,155.6607837,-0.583892894,-0.272846274,-0.554599486,-0.214803568,1715,927,0.350870553,1269,1250,0.496228662,-5.619048564,-2.625715231
B05_2022-12-16_JO_Exp15A-C_FA2_B05_2022-12-16_1.fsa,161.4907837,147,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,2438,155.3189434,8.801576942,157.664117,156.1223103,7.373464,133.5574503,169.1007837,35.54333333,-0.739271296,-0.31482766,0.178255788,157.5974503,155.6607837,-0.701219832,-0.258874857,-0.799347772,-0.116515589,1834,751,0.290522244,1189,1249,0.512305168,-6.171840306,-2.278506973
B06_2022-12-16_JO_Exp15A-C_FA4_B06_2022-12-16_1.fsa,159.6307837,152,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3017,153.8965256,10.45287446,156.734117,154.4944772,11.21834,131.8607837,169.994117,38.13333333,-0.474461644,-1.008383872,0.190304071,157.5974503,155.6607837,-0.548581935,-0.354058089,-0.814395534,-0.506346297,1932,1237,0.390343957,1547,1470,0.487238979,-5.734258093,-3.70092476
B06_2022-12-16_JO_Exp15A-C_FA3_B06_2022-12-16_1.fsa,162.484117,78,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,957,159.8584082,4.108695327,159.6674503,159.9231305,4.190816,151.8574503,167.2107837,15.35333333,-0.128401084,-0.882759418,0.132815258,157.5974503,155.6607837,-0.639061455,0.550286082,0.139429556,3.064932433,716,319,0.30821256,269,688,0.718913271,-2.625708812,2.260957854
B06_2022-12-16_JO_Exp15A-C_FA1_B06_2022-12-16_1.fsa,111.5574503,40,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,120,115.8907837,4.373136738,114.2674503,115.687867,4.017846,111.5574503,121.8474503,10.29,0.501018694,-1.524895833,0.39921094,157.5974503,155.6607837,0.990898203,-9.537014085,1.113617134,-27.28247643,40,120,0.75,120,0,0,4.333333333,-41.70666667
B07_2022-12-16_JO_Exp15A-C_FA1_B07_2022-12-16_1.fsa,173.854117,100,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,554,160.1584551,12.16084106,160.6107837,161.7948978,4.240236,117.0574503,173.854117,56.79666667,-2.30969195,6.410561614,0.516664628,157.5974503,155.6607837,-1.126210086,0.210594383,-0.111586489,1.109546155,554,100,0.152905199,129,425,0.767148014,-13.69566185,2.561004813
B07_2022-12-16_JO_Exp15A-C_FA3_B07_2022-12-16_1.fsa,159.684117,104,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1604,157.0276644,8.014798668,158.6907837,158.0968169,7.052234,133.684117,168.284117,34.6,-1.231064124,1.333024118,0.200119973,157.5974503,155.6607837,-0.331443462,-0.071091736,-0.622518177,0.511633831,957,751,0.43969555,659,945,0.58915212,-2.656452618,-0.569785952
B08_2022-12-16_JO_Exp15A-C_FA1_B08_2022-12-16_1.fsa,173.8574503,550,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3287,153.4256432,15.90377774,156.764117,154.2895636,19.797652,110.064117,178.7974503,68.73333333,-0.418013045,-0.507210091,0.277396161,157.5974503,155.6607837,-1.284714075,-0.262315482,-0.629751089,-0.421624438,3215,622,0.162105812,1795,1492,0.45390934,-2.716505295,13.5434947
B09_2022-12-16_JO_Exp15A-C_FA1_B09_2022-12-16_1.fsa,158.644117,180,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3069,154.2050641,9.321058427,156.764117,155.0099086,8.440936,131.7307837,173.7907837,42.06,-0.679330675,-0.374132789,0.168254538,157.5974503,155.6607837,-0.476239145,-0.363948607,-0.823635936,-0.46852605,1942,1307,0.402277624,1596,1473,0.479960899,-4.405341781,-3.358675114
B09_2022-12-16_JO_Exp15A-C_FA2_B09_2022-12-16_1.fsa,133.5074503,72,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,908,155.5832506,8.68056425,157.564117,157.1353121,5.811792,133.5074503,165.274117,31.76666667,-1.5202497,1.510346899,0.288074643,157.5974503,155.6607837,2.543129647,-0.232035574,-0.684586733,-0.026795392,72,908,0.926530612,468,440,0.484581498,22.07580029,-2.014199706
B10_2022-12-16_JO_Exp15A-C_FA1_B10_2022-12-16_1.fsa,173.8774503,800,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,12473,150.5087417,16.74872543,155.6907837,151.7803701,14.252728,110.324117,179.3707837,69.04666667,-0.644467543,-0.45374463,0.149967206,157.5974503,155.6607837,-1.395252957,-0.423238694,-0.928197558,-0.922824014,12330,943,0.071046485,6905,5568,0.446404233,-17.90741157,-1.627411565
B10_2022-12-16_JO_Exp15A-C_FA2_B10_2022-12-16_1.fsa,158.6074503,85,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1700,155.098266,9.040253264,156.7007837,155.7499503,8.74734,133.6374503,169.0974503,35.46,-0.579970681,-0.437430685,0.219258348,157.5974503,155.6607837,-0.38817323,-0.276450697,-0.531794055,-0.186670981,1053,732,0.410084034,889,811,0.477058824,-3.509184314,-2.499184314
B10_2022-12-16_JO_Exp15A-C_FA3_B10_2022-12-16_1.fsa,119.154117,30,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,30,119.154117,0,119.154117,119.154117,0,119.154117,119.154117,0,NA,NA,0,157.5974503,155.6607837,NA,#NAME?,NA,#NAME?,30,30,0.5,30,0,0,0,-38.44333333
B11_2022-12-16_JO_Exp15A-C_FA3_B11_2022-12-16_1.fsa,161.494117,46,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,474,159.5981325,3.51531407,159.4507837,159.6804152,4.146338,152.7907837,165.2774503,12.48666667,-0.172985495,-0.879524601,0.161463723,157.5974503,155.6607837,-0.539349967,0.569133255,0.125748768,3.360168161,339,181,0.348076923,126,348,0.734177215,-1.895984529,2.000682138
B11_2022-12-16_JO_Exp15A-C_FA1_B11_2022-12-16_1.fsa,173.854117,1216,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,13958,148.9290043,19.33353974,154.614117,150.1945769,18.5325,110.294117,178.254117,67.96,-0.541829655,-0.858537574,0.163643884,157.5974503,155.6607837,-1.289216204,-0.448363112,-0.882163245,-1.044575304,13688,1486,0.097930671,8159,5799,0.415460668,-17.18652767,-0.929861002
B12_2022-12-16_JO_Exp15A-C_FA3_B12_2022-12-16_1.fsa,155.6107837,62,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,843,158.0002657,6.060529457,158.544117,158.6649614,5.70801,140.8774503,167.064117,26.18666667,-1.05788586,1.256939729,0.208735722,157.5974503,155.6607837,0.394269515,0.066465372,-0.269209808,1.158058232,269,636,0.702762431,390,453,0.537366548,2.389482009,0.402815342
B12_2022-12-16_JO_Exp15A-C_FA2_B12_2022-12-16_1.fsa,160.2907837,388,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,9632,149.9722686,15.43354872,155.5207837,151.6223738,12.789896,110.684117,173.684117,63,-0.834625741,-0.285798829,0.157256122,157.5974503,155.6607837,-0.668576956,-0.494065352,-1.078529984,-1.105743427,6862,3158,0.315169661,5730,3902,0.405107973,-5.669000041,-2.975666708
B12_2022-12-16_JO_Exp15A-C_FA1_B12_2022-12-16_1.fsa,173.8574503,1297,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,17698,148.3676618,18.45783439,153.6374503,149.5027439,17.19816,110.1907837,179.3207837,69.13,-0.528203874,-0.804280174,0.138745418,157.5974503,155.6607837,-1.380973951,-0.500047205,-0.856512478,-1.185370126,17484,1511,0.079547249,10836,6862,0.387727427,-17.47273594,-1.212735935
C01_2022-12-16_JO_Exp15A-C_FA3_C01_2022-12-16_1.fsa,161.364117,286,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,8086,148.8465212,15.74276708,152.7107837,150.1213303,15.695792,110.7407837,174.6474503,63.90666667,-0.607793488,-0.596474865,0.175070996,157.5974503,155.6607837,-0.795133142,-0.555869825,-0.736388176,-1.298551102,6150,2222,0.265408505,5073,3013,0.372619342,-7.573122897,-3.80645623
C01_2022-12-16_JO_Exp15A-C_FA4_C01_2022-12-16_1.fsa,159.464117,239,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4177,154.9288684,9.519292757,157.5174503,155.8993478,8.460704,131.5774503,169.9307837,38.35333333,-0.825080095,-0.255080796,0.147289723,157.5974503,155.6607837,-0.476427052,-0.280334053,-0.815790201,-0.230662698,2626,1790,0.405344203,2162,2015,0.482403639,-4.414521263,-2.547854597
C01_2022-12-16_JO_Exp15A-C_FA2_C01_2022-12-16_1.fsa,173.8407837,271,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,6075,148.2744802,17.82784591,152.6974503,149.3079564,18.344704,110.6507837,178.9207837,68.27,-0.48014504,-0.777736534,0.22873137,157.5974503,155.6607837,-1.434065762,-0.522944283,-0.744280064,-1.242938177,5960,386,0.060825717,3778,2297,0.378106996,-22.79886798,-6.555534651
